GAME_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,START_POSITION,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,PF,PLUS_MINUS,EFFICIENCY,TRUE_SHOOTING_PCT,AST_TO_RATIO,THREE_POINT_RATE,FREE_THROW_RATE
42500401,1610612752,NYK,1628404,Josh Hart,F,26:47,3.0,15.0,6.0,4.0,1.0,0.0,1.0,5.0,0.2,0.0,3.0,0.0,1.0,1.0,1.0,2.0,13.0,4.0,22.0,25.0,0.275735294117647,,0.6,0.2
42500401,1610612752,NYK,1628384,OG Anunoby,F,31:07,17.0,3.0,0.0,1.0,1.0,0.0,5.0,12.0,0.417,3.0,6.0,0.5,4.0,4.0,1.0,0.0,3.0,0.0,-6.0,15.0,0.6177325581395349,,0.5,0.3333333333333333
42500401,1610612752,NYK,1626157,Karl-Anthony Towns,C,34:22,18.0,12.0,4.0,0.0,1.0,2.0,7.0,15.0,0.467,0.0,2.0,0.0,4.0,4.0,1.0,4.0,8.0,4.0,14.0,25.0,0.5369928400954653,2.0,0.13333333333333333,0.26666666666666666
42500401,1610612752,NYK,1628969,Mikal Bridges,G,28:12,9.0,3.0,3.0,2.0,0.0,1.0,3.0,6.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,2.0,1.0,3.0,11.0,12.0,0.5798969072164949,3.0,0.0,0.6666666666666666
42500401,1610612752,NYK,1628973,Jalen Brunson,G,37:03,30.0,3.0,2.0,0.0,0.0,4.0,12.0,31.0,0.387,2.0,9.0,0.222,4.0,4.0,1.0,1.0,2.0,2.0,6.0,12.0,0.4578754578754579,0.5,0.2903225806451613,0.12903225806451613
42500401,1610612752,NYK,1629013,Landry Shamet,,33:16,13.0,1.0,0.0,0.0,0.0,0.0,5.0,9.0,0.556,3.0,6.0,0.5,0.0,0.0,0.0,0.0,1.0,4.0,-10.0,10.0,0.7222222222222222,,0.6666666666666666,0.0
42500401,1610612752,NYK,1630540,Miles McBride,,19:28,6.0,1.0,4.0,0.0,1.0,0.0,2.0,7.0,0.286,2.0,6.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,11.0,7.0,0.42857142857142855,,0.8571428571428571,0.0
42500401,1610612752,NYK,1629011,Mitchell Robinson,,13:09,2.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,-4.0,6.0,0.4098360655737705,,0.0,0.5
42500401,1610612752,NYK,1630631,Jose Alvarado,,10:57,7.0,4.0,1.0,1.0,0.0,1.0,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,4.0,3.0,4.0,9.0,0.5833333333333334,1.0,0.5,0.0
42500401,1610612752,NYK,203903,Jordan Clarkson,,5:39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,,1.0,0.0
42500401,1610612752,NYK,1642359,Pacôme Dadiet,,,,,,,,,,,,,,,,,,,,,,,,,,
42500401,1610612752,NYK,1642885,Mohamed Diawara,,,,,,,,,,,,,,,,,,,,,,,,,,
42500401,1610612752,NYK,1630574,Ariel Hukporti,,,,,,,,,,,,,,,,,,,,,,,,,,
42500401,1610612752,NYK,1642278,Tyler Kolek,,,,,,,,,,,,,,,,,,,,,,,,,,
42500401,1610612752,NYK,1631110,Jeremy Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
42500401,1610612759,SAS,1630170,Devin Vassell,F,36:01,9.0,9.0,3.0,0.0,0.0,1.0,4.0,11.0,0.364,1.0,6.0,0.167,0.0,0.0,0.0,4.0,5.0,1.0,-13.0,13.0,0.4090909090909091,3.0,0.5454545454545454,0.0
42500401,1610612759,SAS,1630577,Julian Champagnie,F,31:13,16.0,10.0,1.0,0.0,1.0,0.0,5.0,11.0,0.455,5.0,10.0,0.5,1.0,2.0,0.5,3.0,7.0,2.0,-8.0,21.0,0.6734006734006733,,0.9090909090909091,0.18181818181818182
42500401,1610612759,SAS,1641705,Victor Wembanyama,C,37:48,26.0,12.0,2.0,1.0,3.0,6.0,6.0,21.0,0.286,2.0,9.0,0.222,12.0,13.0,0.923,3.0,9.0,2.0,-3.0,22.0,0.48652694610778446,0.3333333333333333,0.42857142857142855,0.6190476190476191
42500401,1610612759,SAS,1642264,Stephon Castle,G,34:27,17.0,8.0,3.0,0.0,0.0,2.0,7.0,16.0,0.438,1.0,5.0,0.2,2.0,2.0,1.0,3.0,5.0,3.0,-9.0,17.0,0.5035545023696683,1.5,0.3125,0.125
42500401,1610612759,SAS,1628368,De'Aaron Fox,G,37:55,7.0,4.0,5.0,1.0,0.0,3.0,3.0,13.0,0.231,0.0,4.0,0.0,1.0,2.0,0.5,0.0,4.0,5.0,0.0,3.0,0.2521613832853026,1.6666666666666667,0.3076923076923077,0.15384615384615385
42500401,1610612759,SAS,1642844,Dylan Harper,,27:31,16.0,8.0,1.0,1.0,0.0,1.0,6.0,10.0,0.6,1.0,4.0,0.25,3.0,3.0,1.0,0.0,8.0,2.0,-5.0,21.0,0.7067137809187279,1.0,0.4,0.3
42500401,1610612759,SAS,1629640,Keldon Johnson,,8:20,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.375,,0.5,0.0
42500401,1610612759,SAS,1628436,Luke Kornet,,10:12,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-7.0,2.0,,,,
42500401,1610612759,SAS,203084,Harrison Barnes,,12:08,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,-2.0,0.0,0.0,,1.0,0.5
42500401,1610612759,SAS,1642868,Carter Bryant,,4:26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,1.0,-4.0,-1.0,0.26595744680851063,,1.0,2.0
42500401,1610612759,SAS,202687,Bismack Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,,
42500401,1610612759,SAS,1629162,Jordan McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,
42500401,1610612759,SAS,203482,Kelly Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
42500401,1610612759,SAS,203486,Mason Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
42500401,1610612759,SAS,1630322,Lindy Waters III,,,,,,,,,,,,,,,,,,,,,,,,,,
42500402,1610612752,NYK,1628404,Josh Hart,F,18:11,0.0,6.0,4.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,-3.0,6.0,0.0,2.0,0.5,0.0
42500402,1610612752,NYK,1628384,OG Anunoby,F,36:48,17.0,4.0,3.0,2.0,2.0,0.0,5.0,10.0,0.5,2.0,5.0,0.4,5.0,5.0,1.0,0.0,4.0,4.0,-9.0,23.0,0.6967213114754098,,0.5,0.5
42500402,1610612752,NYK,1626157,Karl-Anthony Towns,C,33:56,21.0,13.0,4.0,1.0,1.0,2.0,8.0,12.0,0.667,3.0,5.0,0.6,2.0,2.0,1.0,3.0,10.0,5.0,11.0,34.0,0.8152173913043478,2.0,0.4166666666666667,0.16666666666666666
42500402,1610612752,NYK,1628969,Mikal Bridges,G,40:53,20.0,6.0,6.0,1.0,0.0,1.0,8.0,13.0,0.615,4.0,6.0,0.667,0.0,0.0,0.0,0.0,6.0,2.0,7.0,27.0,0.7692307692307693,6.0,0.46153846153846156,0.0
42500402,1610612752,NYK,1628973,Jalen Brunson,G,37:41,20.0,5.0,6.0,5.0,0.0,4.0,7.0,25.0,0.28,2.0,8.0,0.25,4.0,5.0,0.8,2.0,3.0,2.0,-10.0,13.0,0.36764705882352944,1.5,0.32,0.2
42500402,1610612752,NYK,1630540,Miles McBride,,18:17,5.0,2.0,2.0,0.0,0.0,2.0,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,0.0,2.0,0.0,1.0,-1.0,2.0,0.35714285714285715,1.0,0.42857142857142855,0.0
42500402,1610612752,NYK,1629013,Landry Shamet,,30:09,13.0,2.0,2.0,0.0,1.0,0.0,5.0,12.0,0.417,3.0,7.0,0.429,0.0,0.0,0.0,0.0,2.0,0.0,9.0,11.0,0.5416666666666666,,0.5833333333333334,0.0
42500402,1610612752,NYK,1629011,Mitchell Robinson,,14:03,7.0,3.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,6.0,0.5,1.0,2.0,3.0,-10.0,8.0,0.7543103448275861,0.0,0.0,3.0
42500402,1610612752,NYK,1630631,Jose Alvarado,,10:03,2.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,3.0,0.667,2.0,1.0,1.0,11.0,2.0,0.18796992481203006,,0.5,0.75
42500402,1610612752,NYK,203903,Jordan Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
42500402,1610612752,NYK,1642359,Pacôme Dadiet,,,,,,,,,,,,,,,,,,,,,,,,,,
42500402,1610612752,NYK,1642885,Mohamed Diawara,,,,,,,,,,,,,,,,,,,,,,,,,,
42500402,1610612752,NYK,1630574,Ariel Hukporti,,,,,,,,,,,,,,,,,,,,,,,,,,
42500402,1610612752,NYK,1642278,Tyler Kolek,,,,,,,,,,,,,,,,,,,,,,,,,,
42500402,1610612752,NYK,1631110,Jeremy Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
42500402,1610612759,SAS,1630170,Devin Vassell,F,38:03,14.0,9.0,5.0,0.0,1.0,0.0,4.0,9.0,0.444,3.0,7.0,0.429,3.0,3.0,1.0,0.0,9.0,2.0,6.0,24.0,0.6782945736434108,,0.7777777777777778,0.3333333333333333
42500402,1610612759,SAS,1630577,Julian Champagnie,F,35:58,8.0,4.0,1.0,0.0,1.0,0.0,2.0,6.0,0.333,2.0,5.0,0.4,2.0,2.0,1.0,0.0,4.0,2.0,-8.0,10.0,0.5813953488372093,,0.8333333333333334,0.3333333333333333
42500402,1610612759,SAS,1641705,Victor Wembanyama,C,40:19,29.0,9.0,2.0,2.0,4.0,4.0,11.0,21.0,0.524,2.0,6.0,0.333,5.0,8.0,0.625,3.0,6.0,2.0,6.0,29.0,0.5913539967373572,0.5,0.2857142857142857,0.38095238095238093
42500402,1610612759,SAS,1642264,Stephon Castle,G,27:43,14.0,4.0,4.0,1.0,0.0,4.0,5.0,14.0,0.357,2.0,4.0,0.5,2.0,4.0,0.5,0.0,4.0,4.0,-6.0,8.0,0.44416243654822335,1.0,0.2857142857142857,0.2857142857142857
42500402,1610612759,SAS,1628368,De'Aaron Fox,G,33:50,20.0,3.0,5.0,1.0,1.0,4.0,8.0,12.0,0.667,2.0,2.0,1.0,2.0,2.0,1.0,0.0,3.0,2.0,2.0,22.0,0.7763975155279502,1.25,0.16666666666666666,0.16666666666666666
42500402,1610612759,SAS,1642844,Dylan Harper,,32:16,15.0,6.0,3.0,1.0,0.0,2.0,6.0,12.0,0.5,0.0,3.0,0.0,3.0,4.0,0.75,1.0,5.0,3.0,12.0,16.0,0.5450581395348837,1.5,0.25,0.3333333333333333
42500402,1610612759,SAS,1629640,Keldon Johnson,,15:42,3.0,4.0,2.0,1.0,0.0,1.0,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,1.0,3.0,1.0,-5.0,5.0,0.3073770491803279,2.0,0.5,0.5
42500402,1610612759,SAS,1628436,Luke Kornet,,7:51,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,3.0,2.0,-7.0,4.0,0.5681818181818182,,,
42500402,1610612759,SAS,1642868,Carter Bryant,,3:28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,,0.0,,
42500402,1610612759,SAS,203084,Harrison Barnes,,4:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,,,,
42500402,1610612759,SAS,202687,Bismack Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,,
42500402,1610612759,SAS,1629162,Jordan McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,
42500402,1610612759,SAS,203482,Kelly Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
42500402,1610612759,SAS,203486,Mason Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
42500402,1610612759,SAS,1630322,Lindy Waters III,,,,,,,,,,,,,,,,,,,,,,,,,,
42500403,1610612759,SAS,1630577,Julian Champagnie,F,26:40,12.0,1.0,3.0,1.0,0.0,0.0,4.0,9.0,0.444,3.0,7.0,0.429,1.0,2.0,0.5,0.0,1.0,1.0,8.0,11.0,0.6072874493927125,,0.7777777777777778,0.2222222222222222
42500403,1610612759,SAS,1630170,Devin Vassell,F,38:04,11.0,4.0,0.0,0.0,0.0,1.0,3.0,4.0,0.75,3.0,4.0,0.75,2.0,3.0,0.667,0.0,4.0,3.0,12.0,12.0,1.0338345864661653,0.0,1.0,0.75
42500403,1610612759,SAS,1641705,Victor Wembanyama,C,38:44,32.0,8.0,6.0,2.0,3.0,1.0,11.0,18.0,0.611,2.0,4.0,0.5,8.0,9.0,0.889,1.0,7.0,3.0,7.0,42.0,0.7285974499089253,6.0,0.2222222222222222,0.5
42500403,1610612759,SAS,1642264,Stephon Castle,G,38:02,23.0,5.0,5.0,1.0,1.0,2.0,8.0,14.0,0.571,2.0,5.0,0.4,5.0,6.0,0.833,1.0,4.0,4.0,6.0,26.0,0.6911057692307692,2.5,0.35714285714285715,0.42857142857142855
42500403,1610612759,SAS,1628368,De'Aaron Fox,G,36:41,12.0,3.0,8.0,1.0,2.0,2.0,4.0,14.0,0.286,0.0,5.0,0.0,4.0,4.0,1.0,0.0,3.0,3.0,-7.0,14.0,0.3807106598984772,4.0,0.35714285714285715,0.2857142857142857
42500403,1610612759,SAS,1642844,Dylan Harper,,32:00,13.0,9.0,4.0,0.0,0.0,0.0,5.0,18.0,0.278,1.0,8.0,0.125,2.0,2.0,1.0,1.0,8.0,1.0,-8.0,13.0,0.3442796610169492,,0.4444444444444444,0.1111111111111111
42500403,1610612759,SAS,1629640,Keldon Johnson,,16:45,7.0,2.0,0.0,1.0,0.0,2.0,3.0,5.0,0.6,0.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,3.0,14.0,3.0,0.5177514792899408,0.0,0.0,0.8
42500403,1610612759,SAS,1628436,Luke Kornet,,9:16,2.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,-3.0,9.0,0.5319148936170213,,0.0,2.0
42500403,1610612759,SAS,1642868,Carter Bryant,,3:48,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-9.0,4.0,1.5,,1.0,0.0
42500403,1610612759,SAS,203084,Harrison Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
42500403,1610612759,SAS,202687,Bismack Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,,
42500403,1610612759,SAS,1629162,Jordan McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,
42500403,1610612759,SAS,203482,Kelly Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
